-5.0000000000 -9368.5000000000 
-4.7959183673 -7605.1737598663 
-4.5918367347 -6117.7575340645 
-4.3877551020 -4872.5262439064 
-4.1836734694 -3838.6223185753 
-3.9795918367 -2987.9282503314 
-3.7755102041 -2294.9391497182 
-3.5714285714 -1736.6353007675 
-3.3673469388 -1292.3547162056 
-3.1632653061 -943.6656926586 
-2.9591836735 -674.2393658586 
-2.7551020408 -469.7222658489 
-2.5510204082 -317.6088721901 
-2.3469387755 -207.1141691657 
-2.1428571429 -129.0462009877 
-1.9387755102 -75.6786270025 
-1.7346938776 -40.6232768964 
-1.5306122449 -18.7027059015 
-1.3265306122 -5.8227500014 
-1.1224489796 +1.1549188634 
-0.9183673469 +4.5402375891 
-0.7142857143 +5.9421967038 
-0.5102040816 +6.3962851609 
-0.3061224490 +6.4919351341 
-0.1020408163 +6.4999668113 
+0.1020408163 +6.5000331887 
+0.3061224490 +6.5080648659 
+0.5102040816 +6.6037148391 
+0.7142857143 +7.0578032962 
+0.9183673469 +8.4597624109 
+1.1224489796 +11.8450811366 
+1.3265306122 +18.8227500014 
+1.5306122449 +31.7027059015 
+1.7346938776 +53.6232768964 
+1.9387755102 +88.6786270025 
+2.1428571429 +142.0462009877 
+2.3469387755 +220.1141691657 
+2.5510204082 +330.6088721901 
+2.7551020408 +482.7222658489 
+2.9591836735 +687.2393658586 
+3.1632653061 +956.6656926586 
+3.3673469388 +1305.3547162056 
+3.5714285714 +1749.6353007675 
+3.7755102041 +2307.9391497182 
+3.9795918367 +3000.9282503314 
+4.1836734694 +3851.6223185752 
+4.3877551020 +4885.5262439064 
+4.5918367347 +6130.7575340645 
+4.7959183673 +7618.1737598663 
+5.0000000000 +9381.4999999999 
